[Measurement conditions]
Sample identification,
Comment,
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.05mm
Receiving slit,0.05
Monochromator used,YES
Generator voltage, 45
Tube current, 40
File date and time,02/Sep/2019 15:57
Unit cell,TiO2[001]
h k l, 0 0 2
Scan axis,2Theta-Omega
Scan range,0.10500,9.89500
Scan step size,0.0100000
Omega offset,0.0000
No. of points, 979
Scan type,CONTINUOUS
Phi,1.81
Psi,-0.14
Z,1.721
Time per step,0.880
[Scan points]
Angle,Intensity
0.11000,681932.0
0.12000,721573.0
0.13000,763954.0
0.14000,802414.0
0.15000,842234.0
0.16000,884010.0
0.17000,921045.0
0.18000,958617.0
0.19000,998201.0
0.20000,1036510.0
0.21000,1073514.0
0.22000,1107880.0
0.23000,1145205.0
0.24000,1179193.0
0.25000,1217436.0
0.26000,1251440.0
0.27000,1286291.0
0.28000,1317451.0
0.29000,1351132.0
0.30000,1383149.0
0.31000,1418275.0
0.32000,1447628.0
0.33000,1478780.0
0.34000,1507956.0
0.35000,1536697.0
0.36000,1566689.0
0.37000,1595998.0
0.38000,1621148.0
0.39000,1648434.0
0.40000,1672941.0
0.41000,1697721.0
0.42000,1715992.0
0.43000,1737473.0
0.44000,1754646.0
0.45000,1767818.0
0.46000,1782630.0
0.47000,1789710.0
0.48000,1794185.0
0.49000,1788255.0
0.50000,1769980.0
0.51000,1733098.0
0.52000,1662527.0
0.53000,1534406.0
0.54000,1325628.0
0.55000,1066974.0
0.56000,819043.0
0.57000,633858.0
0.58000,502681.0
0.59000,408083.0
0.60000,338798.0
0.61000,285082.0
0.62000,241778.0
0.63000,206959.0
0.64000,179416.0
0.65000,156099.0
0.66000,136190.0
0.67000,119520.0
0.68000,105943.0
0.69000,93581.0
0.70000,83469.0
0.71000,74221.0
0.72000,65965.0
0.73000,59195.0
0.74000,52741.0
0.75000,47714.0
0.76000,43279.0
0.77000,38960.0
0.78000,34883.0
0.79000,31650.0
0.80000,28735.0
0.81000,25818.0
0.82000,23751.0
0.83000,21474.0
0.84000,19486.0
0.85000,17816.0
0.86000,16283.0
0.87000,14772.0
0.88000,13397.0
0.89000,12406.0
0.90000,11464.0
0.91000,10690.0
0.92000,9728.0
0.93000,8847.0
0.94000,8471.0
0.95000,7881.0
0.96000,7477.0
0.97000,7001.0
0.98000,6629.0
0.99000,6233.0
1.00000,5898.0
1.01000,5559.0
1.02000,5177.0
1.03000,4998.0
1.04000,4895.0
1.05000,4661.0
1.06000,4686.0
1.07000,4549.0
1.08000,4276.0
1.09000,4149.0
1.10000,4214.0
1.11000,4073.0
1.12000,4076.0
1.13000,3862.0
1.14000,3811.0
1.15000,3908.0
1.16000,3923.0
1.17000,3952.0
1.18000,3793.0
1.19000,3968.0
1.20000,3868.0
1.21000,3718.0
1.22000,3874.0
1.23000,3786.0
1.24000,3773.0
1.25000,3677.0
1.26000,3849.0
1.27000,3826.0
1.28000,3794.0
1.29000,3778.0
1.30000,3646.0
1.31000,3832.0
1.32000,3759.0
1.33000,3749.0
1.34000,3667.0
1.35000,3691.0
1.36000,3750.0
1.37000,3646.0
1.38000,3615.0
1.39000,3642.0
1.40000,3630.0
1.41000,3524.0
1.42000,3581.0
1.43000,3613.0
1.44000,3459.0
1.45000,3521.0
1.46000,3334.0
1.47000,3535.0
1.48000,3392.0
1.49000,3433.0
1.50000,3208.0
1.51000,3274.0
1.52000,3253.0
1.53000,3251.0
1.54000,3166.0
1.55000,3109.0
1.56000,3247.0
1.57000,3057.0
1.58000,2972.0
1.59000,3040.0
1.60000,2868.0
1.61000,2808.0
1.62000,2823.0
1.63000,2835.0
1.64000,2746.0
1.65000,2728.0
1.66000,2571.0
1.67000,2591.0
1.68000,2494.0
1.69000,2514.0
1.70000,2340.0
1.71000,2363.0
1.72000,2297.0
1.73000,2253.0
1.74000,2279.0
1.75000,2107.0
1.76000,2085.0
1.77000,2060.0
1.78000,1935.0
1.79000,1852.0
1.80000,1812.0
1.81000,1758.0
1.82000,1758.0
1.83000,1702.0
1.84000,1627.0
1.85000,1675.0
1.86000,1554.0
1.87000,1491.0
1.88000,1472.0
1.89000,1431.0
1.90000,1352.0
1.91000,1248.0
1.92000,1189.0
1.93000,1254.0
1.94000,1128.0
1.95000,1074.0
1.96000,1049.0
1.97000,1049.0
1.98000,967.0
1.99000,924.0
2.00000,882.0
2.01000,816.0
2.02000,858.0
2.03000,747.0
2.04000,725.0
2.05000,674.0
2.06000,663.0
2.07000,628.0
2.08000,592.0
2.09000,647.0
2.10000,540.0
2.11000,519.0
2.12000,499.0
2.13000,496.0
2.14000,476.0
2.15000,405.0
2.16000,424.0
2.17000,392.0
2.18000,352.0
2.19000,365.0
2.20000,340.0
2.21000,299.0
2.22000,305.0
2.23000,285.0
2.24000,250.0
2.25000,264.0
2.26000,234.0
2.27000,211.0
2.28000,213.0
2.29000,238.0
2.30000,207.0
2.31000,189.0
2.32000,165.0
2.33000,186.0
2.34000,166.0
2.35000,174.0
2.36000,160.0
2.37000,153.0
2.38000,160.0
2.39000,130.0
2.40000,143.0
2.41000,139.0
2.42000,138.0
2.43000,129.0
2.44000,119.0
2.45000,132.0
2.46000,144.0
2.47000,121.0
2.48000,120.0
2.49000,127.0
2.50000,127.0
2.51000,120.0
2.52000,134.0
2.53000,128.0
2.54000,131.0
2.55000,116.0
2.56000,131.0
2.57000,137.0
2.58000,127.0
2.59000,154.0
2.60000,141.0
2.61000,150.0
2.62000,129.0
2.63000,148.0
2.64000,145.0
2.65000,160.0
2.66000,186.0
2.67000,168.0
2.68000,163.0
2.69000,173.0
2.70000,158.0
2.71000,166.0
2.72000,177.0
2.73000,171.0
2.74000,143.0
2.75000,175.0
2.76000,187.0
2.77000,173.0
2.78000,180.0
2.79000,178.0
2.80000,192.0
2.81000,170.0
2.82000,162.0
2.83000,193.0
2.84000,184.0
2.85000,174.0
2.86000,168.0
2.87000,180.0
2.88000,179.0
2.89000,157.0
2.90000,178.0
2.91000,179.0
2.92000,184.0
2.93000,183.0
2.94000,178.0
2.95000,153.0
2.96000,181.0
2.97000,155.0
2.98000,177.0
2.99000,172.0
3.00000,174.0
3.01000,168.0
3.02000,172.0
3.03000,193.0
3.04000,181.0
3.05000,164.0
3.06000,165.0
3.07000,194.0
3.08000,183.0
3.09000,174.0
3.10000,153.0
3.11000,133.0
3.12000,168.0
3.13000,156.0
3.14000,147.0
3.15000,158.0
3.16000,154.0
3.17000,153.0
3.18000,117.0
3.19000,140.0
3.20000,129.0
3.21000,119.0
3.22000,138.0
3.23000,127.0
3.24000,142.0
3.25000,126.0
3.26000,118.0
3.27000,139.0
3.28000,101.0
3.29000,119.0
3.30000,125.0
3.31000,109.0
3.32000,100.0
3.33000,117.0
3.34000,109.0
3.35000,102.0
3.36000,95.0
3.37000,102.0
3.38000,87.0
3.39000,82.0
3.40000,87.0
3.41000,76.0
3.42000,71.0
3.43000,71.0
3.44000,67.0
3.45000,61.0
3.46000,60.0
3.47000,60.0
3.48000,75.0
3.49000,51.0
3.50000,64.0
3.51000,58.0
3.52000,42.0
3.53000,62.0
3.54000,40.0
3.55000,49.0
3.56000,47.0
3.57000,39.0
3.58000,33.0
3.59000,39.0
3.60000,25.0
3.61000,28.0
3.62000,29.0
3.63000,29.0
3.64000,37.0
3.65000,30.0
3.66000,18.0
3.67000,30.0
3.68000,15.0
3.69000,28.0
3.70000,23.0
3.71000,32.0
3.72000,16.0
3.73000,17.0
3.74000,15.0
3.75000,22.0
